Council,Period,Benchmark,Measurement_Tools,Time_Period,Side,Policy_Sector,Issues,bmpType,BMP,Description,Goals,Immediate,Short Term Actions,Long Term Actions,Permittee_Category,Responsible_Parties,parties_typology,statefed_not,Funder,Plan,,,,,,,,,
ALT,2,,,,Demand,,,ASWS,ASWS-2. Incentive-based land use practices to help promote infiltration and aquifer recharge,Incentive-based land use practices to help promote infiltration and aquifer recharge,"1,9,12","Incentive-based
practices to promote
infiltration and
aquifer recharge",Determine effectiveness and feasibility of implementing practice (by 01/2020),"If deemed effective and feasible, implement practice based on status of gap closure (by 01/2030)",City and County Land Use,wastewater utilities,utilities,other,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,"- Feasibility studies completed (for short-term studies)
- Feasibility studies initiated (for long-term studies/actions)",Reevaluate need during next Regional Water Plan update,5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-10 Inter-Basin Transfers,Inter-basin transfers from within the region or collaborating regions that can address regional water needs and benefit both the areas from which the transferred water is withdrawn and the area receiving the water,"2, 6, 9, 10, 11, 12","Monitor gap
closure","Based on rate of gap closure, consider inter- basin transfer reconnaissance/feasibility study (by 01/2020)","Construct infrastructure for inter-basin transfers, if feasible and needed (by 01/2050)",Surface Water Withdrawal,epd,state government,statefed,Local governments; utilities,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,"- Feasibility studies completed (for short-term studies)
- Feasibility studies initiated (for long-term studies/actions)",Reevaluate need during next Regional Water Plan update,5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-10 Inter-Basin Transfers,Inter-basin transfers from within the region or collaborating regions that can address regional water needs and benefit both the areas from which the transferred water is withdrawn and the area receiving the water,"2, 6, 9, 10, 11, 12","Monitor gap
closure","Based on rate of gap closure, consider inter- basin transfer reconnaissance/feasibility study (by 01/2020)","Construct infrastructure for inter-basin transfers, if feasible and needed (by 01/2050)",Surface Water Withdrawal,agricultural water users,users,other,Local governments; utilities,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,Incentives and operating conditions identified as part of ASWS-1,Document and maintain volumetric accounting of participating storage facilities,2-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-2 Incentives for Dry-Year Releases from Ponds,"Future and existing surface water uses - Utilizing incentives and collaborative partnerships, examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years","2, 4, 6,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years (by 01/2015),"Modify farm and other pond operations to obtain releases in dry/gap years (by 01/2030), if deemed feasible",Agricultural Surface Withdrawal,epd,state government,statefed,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,,,ASWS,ASWS-2. Incentive-based land use practices to help promote infiltration and aquifer recharge,Incentive-based land use practices to help promote infiltration and aquifer recharge,"1,9,12","Incentive-based
practices to promote
infiltration and
aquifer recharge",Determine effectiveness and feasibility of implementing practice (by 01/2020),"If deemed effective and feasible, implement practice based on status of gap closure (by 01/2030)",City and County Land Use,water utilities,utilities,other,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,Incentives and operating conditions identified as part of ASWS-1,Document and maintain volumetric accounting of participating storage facilities,2-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-2 Incentives for Dry-Year Releases from Ponds,"Future and existing surface water uses - Utilizing incentives and collaborative partnerships, examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years","2, 4, 6,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years (by 01/2015),"Modify farm and other pond operations to obtain releases in dry/gap years (by 01/2030), if deemed feasible",Agricultural Surface Withdrawal,georgia doa,state government,statefed,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,,ASWS,ASWS-3. Incentives for greater wastewater returns,"Indentify incentive-based programs to increase wastewater returns; modify/manage land application systems, septic systems, and stormwater returns to address 7Q10 low flow conditions","2,6,10,11",NA,Continue to monitor land use and hydrologic relationships,Wastewater/ Stormwater npdes discharge sanitary sewer extension,NA,epd,state government,statefed,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,,ASWS,ASWS-3. Incentives for greater wastewater returns,"Indentify incentive-based programs to increase wastewater returns; modify/manage land application systems, septic systems, and stormwater returns to address 7Q10 low flow conditions","2,6,10,11",NA,Continue to monitor land use and hydrologic relationships,Wastewater/ Stormwater npdes discharge sanitary sewer extension,NA,municipalities,local government,other,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,Incentives and operating conditions identified as part of ASWS-1,Document and maintain volumetric accounting of participating storage facilities,2-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-2 Incentives for Dry-Year Releases from Ponds,"Future and existing surface water uses - Utilizing incentives and collaborative partnerships, examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years","2, 4, 6,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years (by 01/2015),"Modify farm and other pond operations to obtain releases in dry/gap years (by 01/2030), if deemed feasible",Agricultural Surface Withdrawal,gswcc,state government,statefed,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,Incentives and operating conditions identified as part of ASWS-1,Document and maintain volumetric accounting of participating storage facilities,2-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-2 Incentives for Dry-Year Releases from Ponds,"Future and existing surface water uses - Utilizing incentives and collaborative partnerships, examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years","2, 4, 6,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Examine opportunities to modify farm and other pond operations to obtain releases in dry/gap years (by 01/2015),"Modify farm and other pond operations to obtain releases in dry/gap years (by 01/2030), if deemed feasible",Agricultural Surface Withdrawal,agricultural surface water users,users,other,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,,ASWS,ASWS-3. Incentives for greater wastewater returns,"Indentify incentive-based programs to increase wastewater returns; modify/manage land application systems, septic systems, and stormwater returns to address 7Q10 low flow conditions","2,6,10,11",NA,Continue to monitor land use and hydrologic relationships,Wastewater/ Stormwater npdes discharge sanitary sewer extension,NA,wastewater utilities,utilities,other,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,,ASWS,ASWS-3. Incentives for greater wastewater returns,"Indentify incentive-based programs to increase wastewater returns; modify/manage land application systems, septic systems, and stormwater returns to address 7Q10 low flow conditions","2,6,10,11",NA,Continue to monitor land use and hydrologic relationships,Wastewater/ Stormwater npdes discharge sanitary sewer extension,NA,water utilities,utilities,other,state incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-4 Monitor Gap Closure and Manage Adaptively,"Monitor gap closure. If progress toward gap closure is not achieved, evaluate need and feasibility to conjunctively manage groundwater and surface water to address surface water flow shortages during 7Q10 low flow conditions","2,4,6,9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Evaluate need and feasibility to conjunctively manage groundwater and surface water to address 7Q10 low flow conditions (by 01/2020),NA,Agricultural Surface/ Groundwater Withdrawal,EPD,state government,statefed,,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,#NAME?,1-3 years 1-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-3 Incentives for Sustainable Groundwater Development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions.","2, 4, 6, 9,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2015)",N/A,Agricultural Surface/ Groundwater Withdrawal,epd,state government,statefed,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,#NAME?,1-3 years 1-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-3 Incentives for Sustainable Groundwater Development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions.","2, 4, 6, 9,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2015)",N/A,Agricultural Surface/ Groundwater Withdrawal,georgia doa,state government,statefed,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,#NAME?,1-3 years 1-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-3 Incentives for Sustainable Groundwater Development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions.","2, 4, 6, 9,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2015)",N/A,Agricultural Surface/ Groundwater Withdrawal,gswcc,state government,statefed,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,#NAME?,1-3 years 1-5 years,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-3 Incentives for Sustainable Groundwater Development,"Future and existing agricultural surface water uses - Using collaboration and incentive based program(s), encourage additional groundwater development as preferred source of supply for future demand where feasible and within the sustainable yield of the resource. Identify the need for, and feasibility of, incentive-based seasonal surface water permit conditions to address 7Q10 low flow conditions.","2, 4, 6, 9,","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy","Encourage groundwater development as preferred source of supply Identify the need for, and feasibility of, incentive based seasonal surface water permit conditions to address 7Q10 low flow conditions (by 01/2015)",N/A,Agricultural Surface/ Groundwater Withdrawal,agricultural surface water users,users,other,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,Identify and monitor participation and conversion rates from surface water to groundwater,"1-3 years
1-5 years",Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-4 Monitor Gap Closure and Manage Adaptively,"Monitor gap closure. If progress toward gap closure is not achieved, evaluate need and feasibility to conjunctively manage groundwater and surface water to address surface water flow shortages during 7Q10 low flow conditions","2, 4, 6, 9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Evaluate need and feasibility to conjunctively manage groundwater and surface water to address 7Q10 low flow conditions (by 01/2015),N/A,Agricultural Surface/ Groundwater Withdrawal,EPD,state government,statefed,,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,#NAME?,Identify and monitor participation and conversion rates from surface water to groundwater,"1-3 years
1-5 years",Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-4 Monitor Gap Closure and Manage Adaptively,"Monitor gap closure. If progress toward gap closure is not achieved, evaluate need and feasibility to conjunctively manage groundwater and surface water to address surface water flow shortages during 7Q10 low flow conditions","2, 4, 6, 9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Evaluate need and feasibility to conjunctively manage groundwater and surface water to address 7Q10 low flow conditions (by 01/2015),N/A,Agricultural Surface/ Groundwater Withdrawal,agriculture surface water users,users,other,,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Supply,Agriculture,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-4 Monitor Gap Closure and Manage Adaptively,"Monitor gap closure. If progress toward gap closure is not achieved, evaluate need and feasibility to conjunctively manage groundwater and surface water to address surface water flow shortages during 7Q10 low flow conditions","2,4,6,9","Develop strategy
and work with
potential
participants/
impacted users to
increase support for
and implementation
of strategy",Evaluate need and feasibility to conjunctively manage groundwater and surface water to address 7Q10 low flow conditions (by 01/2020),NA,Agricultural Surface/ Groundwater Withdrawal,agriculture surface water users,users,other,,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Supply,,Current and Future Surface Water Use in Gap Areas,ASWS,ASWS-5. Restoration Incentive Programs,"Based on outcome of research (DCAR-7 above), consider incentive-based programs to restore wetlands and other areas if this practice can improve river flows during shortages to 7Q10 dry periods without impairing timber harvesting opportunities","2,6,7,9,11","Encourage research
to determine
effectiveness and
feasibility of
restoring wetlands
(see DCAR-7)",Determine effectiveness and feasibility of restoring wetlands (by 01/2020),"Restore wetland characteristics (by 01/2030), if deemed effective and feasible",Wetland Restoration,EPD,state government,statefed,,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,Pending feasibility study,Assess research results,5 years,Supply,,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-5 Restoration Incentive Programs,"Based on outcome of research (DCAR-8 above), consider incentive-based programs to restore wetlands and other areas if this practice can improve river flows during shortages to 7Q10 dry periods without impairing timber harvesting opportunities","2, 6, 7, 9, 11","Encourage research
to determine
effectiveness and
feasibility of
restoring wetlands
(see DCAR-8)",Determine effectiveness and feasibility of restoring wetlands (by 01/2015)," Restore wetland characteristics (by 01/2030), if deemed effective and feasible",Wetland Restoration,EPD,state government,statefed,,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas; Future Surface Water Use in Gap Areas,ASWS,ASWS-6. Consider low-flow conditions in future surface water permitting,"Future surface water uses - if surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant end EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2,6,9","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2015-
2020",NA,"GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2025)",Agricultural surface withdrawal,epd,state government,statefed,"state incentive programs, utilities",http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,"- Feasibility studies completed (for short-term studies)
- Feasibility studies initiated (for long-term studies/actions)",Reevaluate need during next Regional Water Plan update,5 years,Supply,Municipal,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-6 Land Management Incentives,Incentive-based land use practices to help promote infiltration and aquifer recharge,"1, 9, 12,","Incentive-based
practices to promote
infiltration and
aquifer recharge",Determine effectiveness and feasibility of implementing practice (by 01/2015),"If deemed effective and feasible, implement practice based on status of gap closure (by 01/2025)",City and County Land Use,epd,state government,statefed,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas; Future Surface Water Use in Gap Areas,ASWS,ASWS-6. Consider low-flow conditions in future surface water permitting,"Future surface water uses - if surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant end EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2,6,9","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2015-
2020",NA,"GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2025)",Agricultural surface withdrawal,georgia doa,state government,statefed,"state incentive programs, utilities",http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,1,"- Feasibility studies completed (for short-term studies)
- Feasibility studies initiated (for long-term studies/actions)",Reevaluate need during next Regional Water Plan update,5 years,Supply,Municipal,Help improve surface water flow in gap areas during low flow conditions,ASWS,ASWS-6 Land Management Incentives,Incentive-based land use practices to help promote infiltration and aquifer recharge,"1, 9, 12,","Incentive-based
practices to promote
infiltration and
aquifer recharge",Determine effectiveness and feasibility of implementing practice (by 01/2015),"If deemed effective and feasible, implement practice based on status of gap closure (by 01/2025)",City and County Land Use,municipalities,local government,other,State incentive programs,http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas; Future Surface Water Use in Gap Areas,ASWS,ASWS-6. Consider low-flow conditions in future surface water permitting,"Future surface water uses - if surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant end EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2,6,9","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2015-
2020",NA,"GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2025)",Agricultural surface withdrawal,gswcc,state government,statefed,"state incentive programs, utilities",http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
ALT,2,,,,Demand,Municipal,Help ensure that future surface water use does not contribute to frequency and severity of low flow conditions within the Local Drainage Areas that contribute flow to gap areas; Future Surface Water Use in Gap Areas,ASWS,ASWS-6. Consider low-flow conditions in future surface water permitting,"Future surface water uses - if surface water (ponds and withdrawals) is sought for future water supply in gap areas (new permits), the Applicant end EPD should work collaboratively to promote surface water use patterns that will not significantly contribute to frequency or magnitude of 7Q10 low flow conditions","2,6,9","EPD to develop Data
Needs and
Guidance for
Analysis
Requirements
Applicants to submit
analysis from 2015-
2020",NA,"GSWCC to collaborate with EPD, Georgia DOA, and current/future surface water users to develop application process and data needs to streamline application and review process (by 01/2025)",Agricultural surface withdrawal,agricultural surface water users,users,other,"state incentive programs, utilities",http://www.altamahacouncil.org/documents/ALT_Adopted_RWP.pdf,,,,,,,,,
