"","sid","tid","token","lemma","xpos","Council","Period","BMP","term"
"36",1,8,"protect","protect","VB","ALT",1,"GW-3 Promote Aquifer-Friendly Land Use","short-term"
"37",1,1,"Evaluate","evaluate","VB","ALT",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"38",1,9,"needed","need","VBN","ALT",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"39",1,11,"work","work","VB","ALT",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"40",1,15,"obtain","obtain","VB","ALT",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"41",1,1,"Expand","expand","VB","ALT",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"42",1,3,"construct","construct","VB","ALT",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"43",1,7,"obtain","obtain","VBP","ALT",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"44",1,13,"meet","meet","VB","ALT",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"45",1,14,"forecasted","forecast","VBN","ALT",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"46",1,1,"Evaluate","evaluate","VB","ALT",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"47",1,9,"needed","need","VBN","ALT",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"48",1,11,"work","work","VB","ALT",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"49",1,15,"obtain","obtain","VB","ALT",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"50",1,1,"Expand","expand","VB","ALT",1,"MWWPC-1 Increase Wastewater Capacity","short-term"
"51",1,3,"construct","construct","VB","ALT",1,"MWWPC-1 Increase Wastewater Capacity","short-term"
"52",1,7,"obtain","obtain","VBP","ALT",1,"MWWPC-1 Increase Wastewater Capacity","short-term"
"53",1,13,"meet","meet","VB","ALT",1,"MWWPC-1 Increase Wastewater Capacity","short-term"
"54",1,14,"forecasted","forecast","VBN","ALT",1,"MWWPC-1 Increase Wastewater Capacity","short-term"
"55",1,6,"develop","develop","VB","ALT",1,"NPS-1 Study Human Impacts on Water Quality","short-term"
"56",1,9,"address","address","VB","ALT",1,"NPS-1 Study Human Impacts on Water Quality","short-term"
"57",1,6,"develop","develop","VB","ALT",1,"NPS-2 Research and Address Impairment Issues","short-term"
"58",1,9,"address","address","VB","ALT",1,"NPS-2 Research and Address Impairment Issues","short-term"
"59",1,1,"Implement","implement","VB","ALT",1,"NPSA-1 Soil Erosion Reduction Measures","short-term"
"60",1,6,"related","relate","VBN","ALT",1,"NPSA-1 Soil Erosion Reduction Measures","short-term"
"61",1,1,"Implement","implement","VB","ALT",1,"NPSA-2 Utilize Buffers","short-term"
"62",1,6,"related","relate","VBN","ALT",1,"NPSA-2 Utilize Buffers","short-term"
"63",1,1,"Implement","implement","VB","ALT",1,"NPSA-3 Livestock Management","short-term"
"64",1,6,"related","relate","VBN","ALT",1,"NPSA-3 Livestock Management","short-term"
"65",1,1,"Implement","implement","VB","ALT",1,"NPSA-4 Manure Control","short-term"
"66",1,6,"related","relate","VBN","ALT",1,"NPSA-4 Manure Control","short-term"
"67",1,1,"Implement","implement","VB","ALT",1,"NPSA-5 Wetland and Forest Restoration Incentives","short-term"
"68",1,6,"related","relate","VBN","ALT",1,"NPSA-5 Wetland and Forest Restoration Incentives","short-term"
"69",1,1,"Implement","implement","VB","ALT",1,"NPSF-1 Support Forestry Commission Water Quality Program","short-term"
"70",1,6,"related","relate","VBN","ALT",1,"NPSF-1 Support Forestry Commission Water Quality Program","short-term"
"71",1,1,"Implement","implement","VB","ALT",1,"NPSF-2 Improve BMP Compliance","short-term"
"72",1,6,"related","relate","VBN","ALT",1,"NPSF-2 Improve BMP Compliance","short-term"
"73",1,1,"Implement","implement","VB","ALT",1,"NPSF-3 Wetland and Forest Restoration Incentives","short-term"
"74",1,6,"related","relate","VBN","ALT",1,"NPSF-3 Wetland and Forest Restoration Incentives","short-term"
"75",1,1,"Implement","implement","VB","ALT",1,"NPSR-1 Advocate Implementing Road Runoff BMPs","short-term"
"76",1,7,"related","relate","VBN","ALT",1,"NPSR-1 Advocate Implementing Road Runoff BMPs","short-term"
"77",1,1,"Implement","implement","VB","ALT",1,"NPSU-1 Control Erosion","short-term"
"78",1,7,"related","relate","VBN","ALT",1,"NPSU-1 Control Erosion","short-term"
"79",1,1,"Implement","implement","VB","ALT",1,"NPSU-2 Manage Stormwater Runoff","short-term"
"80",1,7,"related","relate","VBN","ALT",1,"NPSU-2 Manage Stormwater Runoff","short-term"
"81",1,1,"Implement","implement","VB","ALT",1,"NPSU-3 Increase Stormwater Infiltration","short-term"
"82",1,7,"related","relate","VBN","ALT",1,"NPSU-3 Increase Stormwater Infiltration","short-term"
"83",1,1,"Implement","implement","VB","ALT",1,"NPSU-4 Riparian Buffers","short-term"
"84",1,7,"related","relate","VBN","ALT",1,"NPSU-4 Riparian Buffers","short-term"
"85",1,1,"Implement","implement","VB","ALT",1,"NPSU-5 Street Sweeping","short-term"
"86",1,7,"related","relate","VBN","ALT",1,"NPSU-5 Street Sweeping","short-term"
"87",1,19,"modeling","model","VBG","ALT",1,"NUT-1 Link Nutrient Loading With Current Land Use","short-term"
"88",1,21,"being","be","VBG","ALT",1,"NUT-1 Link Nutrient Loading With Current Land Use","short-term"
"89",1,22,"developed","develop","VBN","ALT",1,"NUT-1 Link Nutrient Loading With Current Land Use","short-term"
"90",1,1,"Identify","identify","VB","ALT",1,"OCP-1 Engage Local Governments","short-term"
"91",1,3,"implement","implement","VB","ALT",1,"OCP-1 Engage Local Governments","short-term"
"92",1,9,"help","help","VB","ALT",1,"OCP-1 Engage Local Governments","short-term"
"93",1,10,"improve","improve","VB","ALT",1,"OCP-1 Engage Local Governments","short-term"
"94",2,1,"Conduct","conduct","VB","ALT",1,"OCP-1 Engage Local Governments","short-term"
"95",1,1,"Identify","identify","VB","ALT",1,"OCP-2 Green Space Opportunities and Incentives","short-term"
"96",1,3,"implement","implement","VB","ALT",1,"OCP-2 Green Space Opportunities and Incentives","short-term"
"97",1,9,"help","help","VB","ALT",1,"OCP-2 Green Space Opportunities and Incentives","short-term"
"98",1,10,"improve","improve","VB","ALT",1,"OCP-2 Green Space Opportunities and Incentives","short-term"
"99",2,1,"Conduct","conduct","VB","ALT",1,"OCP-2 Green Space Opportunities and Incentives","short-term"
"100",1,1,"Identify","identify","VB","ALT",1,"OCP-3 Promote Integrated Planning","short-term"
"101",1,3,"implement","implement","VB","ALT",1,"OCP-3 Promote Integrated Planning","short-term"
"102",1,9,"help","help","VB","ALT",1,"OCP-3 Promote Integrated Planning","short-term"
"103",1,10,"improve","improve","VB","ALT",1,"OCP-3 Promote Integrated Planning","short-term"
"104",2,1,"Conduct","conduct","VB","ALT",1,"OCP-3 Promote Integrated Planning","short-term"
"105",1,1,"Collect","collect","VB","ALT",1,"PSDO-1 Collect Water Quality Data","short-term"
"106",1,4,"confirm","confirm","VB","ALT",1,"PSDO-1 Collect Water Quality Data","short-term"
"107",1,7,"receiving","receive","VBG","ALT",1,"PSDO-1 Collect Water Quality Data","short-term"
"108",1,1,"Identify","identify","VB","ALT",1,"PSDO-2 Point Discharge Relocation","short-term"
"109",1,4,"move","move","VB","ALT",1,"PSDO-2 Point Discharge Relocation","short-term"
"110",1,3,"improve","improve","VB","ALT",1,"PSDO-3 Enhance Point Source Treatment","short-term"
"111",1,6,"identified","identify","VBN","ALT",1,"PSDO-3 Enhance Point Source Treatment","short-term"
"112",1,1,"Continue","continue","VB","ALT",1,"SW-1 Maintain Current Permitted Capacity","short-term"
"113",1,3,"apply","apply","VB","ALT",1,"SW-1 Maintain Current Permitted Capacity","short-term"
"114",1,5,"sustain","sustain","VBP","ALT",1,"SW-2 Monitor and Evaluate Estuaries","short-term"
"115",1,3,"listed","list","VBN","ALT",1,"TMDL-1 Evaluate Impairment Sources","short-term"
"116",2,1,"Refine","refine","VB","ALT",1,"TMDL-1 Evaluate Impairment Sources","short-term"
"117",1,3,"listed","list","VBN","ALT",1,"TMDL-2 Analyze Impaired Segments and Sources","short-term"
"118",2,1,"Refine","refine","VB","ALT",1,"TMDL-2 Analyze Impaired Segments and Sources","short-term"
"119",1,3,"listed","list","VBN","ALT",1,"TMDL-3 Stormwater Management BMPs","short-term"
"120",2,1,"Refine","refine","VB","ALT",1,"TMDL-3 Stormwater Management BMPs","short-term"
"121",1,1,"Implement","implement","VB","ALT",1,"WC-1 Tier 1 and Tier 2 Measures for Municipal and Industrial Users","short-term"
"122",1,1,"Implement","implement","VB","ALT",1,"WC-10 End-Gun Shutoffs","short-term"
"123",1,1,"Implement","implement","VB","ALT",1,"WC-11 Low Pressure Systems","short-term"
"124",1,1,"Implement","implement","VB","ALT",1,"WC-12 Application Efficiency Technologies","short-term"
"125",1,1,"Implement","implement","VB","ALT",1,"WC-2 Tier 1 and Tier 2 Measures for Agriculture","short-term"
"126",1,1,"Implement","implement","VB","ALT",1,"WC-3 Audits","short-term"
"127",1,1,"Implement","implement","VB","ALT",1,"WC-4 Metering","short-term"
"128",1,1,"Implement","implement","VB","ALT",1,"WC-5 Inspections","short-term"
"129",1,1,"Implement","implement","VB","ALT",1,"WC-6 Minimize HighPressure Systems","short-term"
"130",1,1,"Implement","implement","VB","ALT",1,"WC-7 Efficient Planting Methods","short-term"
"131",1,1,"Implement","implement","VB","ALT",1,"WC-8 Conservation Tillage","short-term"
"132",1,1,"Implement","implement","VB","ALT",1,"WC-9 Control Loss","short-term"
"133",1,1,"Track","track","VB","CGA",1,"AAGS-1 CrossJurisdictional Collaboration","short-term"
"134",1,3,"incorporate","incorporate","VB","CGA",1,"AAGS-1 CrossJurisdictional Collaboration","short-term"
"135",1,1,"Based","base","VBN","CGA",1,"AAGS-10 Inter-basin Transfers","short-term"
"136",1,8,"consider","consider","VB","CGA",1,"AAGS-10 Inter-basin Transfers","short-term"
"137",1,1,"Construct","construct","VB","CGA",1,"AAGS-2 Increase Surface Water Supplies","short-term"
"138",1,1,"Conduct","conduct","VB","CGA",1,"AAGS-3 Additional Reservoir Storage","short-term"
"139",1,1,"Evaluate","evaluate","VB","CGA",1,"AAGS-4 Study Aquifer Storage and Recovery in Addressing Gaps","short-term"
"140",1,6,"confirm","confirm","VB","CGA",1,"AAGS-5 Surface Water Storage in Aquifers","short-term"
"141",1,1,"Install","install","VB","CGA",1,"AAGS-6 Additional Aquifer Use","short-term"
"142",1,13,"meet","meet","VB","CGA",1,"AAGS-6 Additional Aquifer Use","short-term"
"143",1,1,"Construct","construct","VB","CGA",1,"AAGS-7 Reuse ","short-term"
"144",1,8,"establish","establish","VB","CGA",1,"AAGS-7 Reuse ","short-term"
"145",1,2,"pending","pende","VBG","CGA",1,"AAGS-8 Determine Desalination Feasibility","short-term"
"146",1,2,"pending","pende","VBG","CGA",1,"AAGS-9 Determine Reverse Osmosis Feasibility","short-term"
"147",1,3,"collaborate","collaborate","VB","CGA",1,"ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting","short-term"
"148",1,18,"develop","develop","VB","CGA",1,"ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting","short-term"
"149",1,25,"streamline","streamline","VB","CGA",1,"ASWS-1 Consider Low Flow Conditions in Future Surface Water Permitting","short-term"
"150",1,1,"Based","base","VBN","CGA",1,"ASWS-10 Inter-Basin Transfers","short-term"
"151",1,8,"consider","consider","VB","CGA",1,"ASWS-10 Inter-Basin Transfers","short-term"
"152",1,3,"collaborate","collaborate","VB","CGA",1,"ASWS-2 Incentives for Dry-Year Releases from Ponds","short-term"
"153",1,18,"develop","develop","VB","CGA",1,"ASWS-2 Incentives for Dry-Year Releases from Ponds","short-term"
"154",1,25,"streamline","streamline","VB","CGA",1,"ASWS-2 Incentives for Dry-Year Releases from Ponds","short-term"
"155",1,3,"collaborate","collaborate","VB","CGA",1,"ASWS-3 Substitute Future Surface Water Use with Groundwater in Dry Years","short-term"
"156",1,18,"develop","develop","VB","CGA",1,"ASWS-3 Substitute Future Surface Water Use with Groundwater in Dry Years","short-term"
"157",1,25,"streamline","streamline","VB","CGA",1,"ASWS-3 Substitute Future Surface Water Use with Groundwater in Dry Years","short-term"
"158",1,1,"Evaluate","evaluate","VB","CGA",1,"ASWS-4 Substitute Existing Surface Water Use with Groundwater in Dry Years","short-term"
"159",1,7,"manage","manage","VB","CGA",1,"ASWS-4 Substitute Existing Surface Water Use with Groundwater in Dry Years","short-term"
"160",1,20,"address","address","VB","CGA",1,"ASWS-4 Substitute Existing Surface Water Use with Groundwater in Dry Years","short-term"
"161",1,1,"Examine","examine","VB","CGA",1,"ASWS-5 Opportunities and Incentives for Dry-Year Releases from Ponds","short-term"
"162",1,4,"modify","modify","VB","CGA",1,"ASWS-5 Opportunities and Incentives for Dry-Year Releases from Ponds","short-term"
"163",1,11,"obtain","obtain","VB","CGA",1,"ASWS-5 Opportunities and Incentives for Dry-Year Releases from Ponds","short-term"
"164",1,15,"address","address","VB","CGA",1,"ASWS-5 Opportunities and Incentives for Dry-Year Releases from Ponds","short-term"
"165",1,1,"Determine","determine","VB","CGA",1,"ASWS-6 Ecological Restoration Incentive Program","short-term"
"166",1,6,"restoring","restore","VBG","CGA",1,"ASWS-6 Ecological Restoration Incentive Program","short-term"
"167",1,1,"Determine","determine","VB","CGA",1,"ASWS-7 Land Management Incentives","short-term"
"168",1,6,"implementing","implement","VBG","CGA",1,"ASWS-7 Land Management Incentives","short-term"
"169",1,1,"Determine","determine","VB","CGA",1,"ASWS-8 Incentives for Greater Wastewater Return Flows","short-term"
"170",1,6,"implementing","implement","VBG","CGA",1,"ASWS-8 Incentives for Greater Wastewater Return Flows","short-term"
"171",1,1,"Based","base","VBN","CGA",1,"ASWS-9 Multi-Region Reservoir ","short-term"
"172",1,8,"consider","consider","VB","CGA",1,"ASWS-9 Multi-Region Reservoir ","short-term"
"173",2,1,"pending","pende","VBG","CGA",1,"ES-1 Engineered Solution","short-term"
"174",1,1,"Provide","provide","VB","CGA",1,"GW-1 Develop and Practice Sustainable Groundwater Use","short-term"
"175",1,4,"implement","implement","VB","CGA",1,"GW-1 Develop and Practice Sustainable Groundwater Use","short-term"
"176",1,1,"Encourage","encourage","VB","CGA",1,"GW-2 Promote Aquifer Friendly Land Use Practices","short-term"
"177",1,6,"sustain","sustain","VBP","CGA",1,"GW-2 Promote Aquifer Friendly Land Use Practices","short-term"
"178",1,8,"protect","protect","VB","CGA",1,"GW-2 Promote Aquifer Friendly Land Use Practices","short-term"
"179",1,1,"Continue","continue","VB","CGA",1,"GW-3 Research and Analyze Sustainable Groundwater Management","short-term"
"180",1,3,"monitor","monitor","VB","CGA",1,"GW-3 Research and Analyze Sustainable Groundwater Management","short-term"
"181",1,5,"improve","improve","VB","CGA",1,"GW-3 Research and Analyze Sustainable Groundwater Management","short-term"
"182",1,1,"Create","create","VB","CGA",1,"I-1 Cross-Jurisdictional Groundwater Coordination Group","short-term"
"183",1,9,"needed","need","VBN","CGA",1,"I-1 Cross-Jurisdictional Groundwater Coordination Group","short-term"
"184",1,1,"Evaluate","evaluate","VB","CGA",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"185",1,9,"needed","need","VBN","CGA",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"186",1,11,"work","work","VB","CGA",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"187",1,15,"obtain","obtain","VB","CGA",1,"IGWPC-1 Increase Industrial Groundwater Permit Capacity","short-term"
"188",1,1,"Expand","expand","VB","CGA",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"189",1,3,"construct","construct","VB","CGA",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"190",1,7,"obtain","obtain","VBP","CGA",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"191",1,13,"meet","meet","VB","CGA",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"192",1,14,"forecasted","forecast","VBN","CGA",1,"IWWPC-1 Collect Additional Industrial Permit Data","short-term"
"193",1,1,"Evaluate","evaluate","VB","CGA",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"194",1,9,"needed","need","VBN","CGA",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"195",1,11,"work","work","VB","CGA",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"196",1,15,"obtain","obtain","VB","CGA",1,"MGWPC-1 Increase Municipal Groundwater Permit Capacity","short-term"
"197",1,1,"Expand","expand","VB","CGA",1,"MWWPC-1 Increase Wastewater Permit Capacity","short-term"
"198",1,3,"construct","construct","VB","CGA",1,"MWWPC-1 Increase Wastewater Permit Capacity","short-term"
"199",1,7,"obtain","obtain","VBP","CGA",1,"MWWPC-1 Increase Wastewater Permit Capacity","short-term"
"200",1,13,"meet","meet","VB","CGA",1,"MWWPC-1 Increase Wastewater Permit Capacity","short-term"
"201",1,14,"forecasted","forecast","VBN","CGA",1,"MWWPC-1 Increase Wastewater Permit Capacity","short-term"
"202",1,6,"develop","develop","VB","CGA",1,"NPS-1 Study Human Impacts on Water Quality","short-term"
"203",1,9,"address","address","VB","CGA",1,"NPS-1 Study Human Impacts on Water Quality","short-term"
"204",1,6,"develop","develop","VB","CGA",1,"NPS-2 Monitor and Address NPS Nutrient Loading ","short-term"
"205",1,9,"address","address","VB","CGA",1,"NPS-2 Monitor and Address NPS Nutrient Loading ","short-term"
"206",1,1,"Implement","implement","VB","CGA",1,"NPSA-1 Soil Erosion Reduction Measures","short-term"
"207",1,6,"related","relate","VBN","CGA",1,"NPSA-1 Soil Erosion Reduction Measures","short-term"
"208",1,1,"Implement","implement","VB","CGA",1,"NPSA-2 Utilize Buffers","short-term"
"209",1,6,"related","relate","VBN","CGA",1,"NPSA-2 Utilize Buffers","short-term"
"210",1,1,"Implement","implement","VB","CGA",1,"NPSA-3 Livestock Management","short-term"
"211",1,6,"related","relate","VBN","CGA",1,"NPSA-3 Livestock Management","short-term"
"212",1,1,"Implement","implement","VB","CGA",1,"NPSA-4 Manure Control","short-term"
"213",1,6,"related","relate","VBN","CGA",1,"NPSA-4 Manure Control","short-term"
"214",1,1,"Implement","implement","VB","CGA",1,"NPSA-5 Wetland and Forest Restoration Incentives","short-term"
"215",1,6,"related","relate","VBN","CGA",1,"NPSA-5 Wetland and Forest Restoration Incentives","short-term"
"216",1,1,"Implement","implement","VB","CGA",1,"NPSF-1 Support Forestry Commission Water Quality Program","short-term"
"217",1,6,"related","relate","VBN","CGA",1,"NPSF-1 Support Forestry Commission Water Quality Program","short-term"
"218",1,1,"Implement","implement","VB","CGA",1,"NPSF-2 Improve BMP Compliance","short-term"
"219",1,6,"related","relate","VBN","CGA",1,"NPSF-2 Improve BMP Compliance","short-term"
"220",1,1,"Implement","implement","VB","CGA",1,"NPSF-3 Wetland and Forest Restoration Incentives and Support ","short-term"
"221",1,6,"related","relate","VBN","CGA",1,"NPSF-3 Wetland and Forest Restoration Incentives and Support ","short-term"
"222",1,1,"Implement","implement","VB","CGA",1,"NPSR-1 Advocate Implementing Road Runoff BMPs","short-term"
"223",1,9,"related","relate","VBN","CGA",1,"NPSR-1 Advocate Implementing Road Runoff BMPs","short-term"
"224",1,1,"Implement","implement","VB","CGA",1,"NPSU-1 Control Erosion","short-term"
"225",1,9,"related","relate","VBN","CGA",1,"NPSU-1 Control Erosion","short-term"
"226",1,1,"Implement","implement","VB","CGA",1,"NPSU-2 Manage Stormwater Runoff","short-term"
"227",1,9,"related","relate","VBN","CGA",1,"NPSU-2 Manage Stormwater Runoff","short-term"
"228",1,1,"Implement","implement","VB","CGA",1,"NPSU-3 Increase Stormwater Infiltration","short-term"
"229",1,9,"related","relate","VBN","CGA",1,"NPSU-3 Increase Stormwater Infiltration","short-term"
"230",1,1,"Implement","implement","VB","CGA",1,"NPSU-4 Riparian Buffers","short-term"
"231",1,9,"related","relate","VBN","CGA",1,"NPSU-4 Riparian Buffers","short-term"
"232",1,19,"modeling","model","VBG","CGA",1,"NUT-1 Link Nutrient Loading With Current Land Use","short-term"
"233",1,21,"being","be","VBG","CGA",1,"NUT-1 Link Nutrient Loading With Current Land Use","short-term"
"234",1,22,"developed","develop","VBN","CGA",1,"NUT-1 Link Nutrient Loading With Current Land Use","short-term"
"235",1,4,"develop","develop","VB","CGA",1,"OCP-1 Engage Local Governments in Stormwater Issues","short-term"
"236",2,1,"Conduct","conduct","VB","CGA",1,"OCP-1 Engage Local Governments in Stormwater Issues","short-term"
"237",1,4,"develop","develop","VB","CGA",1,"OCP-2 Green Space Opportunities and Incentives","short-term"
"238",2,1,"Conduct","conduct","VB","CGA",1,"OCP-2 Green Space Opportunities and Incentives","short-term"
"239",1,4,"develop","develop","VB","CGA",1,"OCP-3 Promote Integrated Planning","short-term"
"240",2,1,"Conduct","conduct","VB","CGA",1,"OCP-3 Promote Integrated Planning","short-term"
"241",1,4,"develop","develop","VB","CGA",1,"OCP-4 Local Government Erosion Control Measures","short-term"
"242",2,1,"Conduct","conduct","VB","CGA",1,"OCP-4 Local Government Erosion Control Measures","short-term"
"243",1,1,"Improve","improve","VB","CGA",1,"PSAN-1 Ammonia Limits","short-term"
"244",1,4,"identified","identify","VBD","CGA",1,"PSAN-1 Ammonia Limits","short-term"
"245",1,9,"comply","comply","VB","CGA",1,"PSAN-1 Ammonia Limits","short-term"
"246",1,1,"Improve","improve","VB","CGA",1,"PSAN-2 Enhance Nutrient Treatment ","short-term"
"247",1,4,"identified","identify","VBD","CGA",1,"PSAN-2 Enhance Nutrient Treatment ","short-term"
"248",1,9,"comply","comply","VB","CGA",1,"PSAN-2 Enhance Nutrient Treatment ","short-term"
"249",1,1,"Eliminate","eliminate","VB","CGA",1,"PSAN-3 Eliminate Illicit Discharges","short-term"
"250",1,1,"Collect","collect","VB","CGA",1,"PSDO-1 Collect Water Quality Data","short-term"
"251",1,4,"confirm","confirm","VB","CGA",1,"PSDO-1 Collect Water Quality Data","short-term"
"252",1,7,"receiving","receive","VBG","CGA",1,"PSDO-1 Collect Water Quality Data","short-term"
"253",1,1,"Identify","identify","VB","CGA",1,"PSDO-2 Point Discharge Relocation","short-term"
"254",1,4,"move","move","VB","CGA",1,"PSDO-2 Point Discharge Relocation","short-term"
"255",1,3,"improve","improve","VB","CGA",1,"PSDO-3 Enhance Point Source Treatment","short-term"
"256",1,6,"identified","identify","VBN","CGA",1,"PSDO-3 Enhance Point Source Treatment","short-term"
"257",1,1,"Continue","continue","VB","CGA",1,"SW-1 Surface Water Use Within Available Capacity","short-term"
"258",1,3,"apply","apply","VB","CGA",1,"SW-1 Surface Water Use Within Available Capacity","short-term"
"259",1,5,"sustain","sustain","VBP","CGA",1,"SW-2 Monitor and Evaluate Estuaries","short-term"
"260",1,3,"listed","list","VBN","CGA",1,"TMDL-1 Evaluate Impairment Sources","short-term"
"261",2,1,"Refine","refine","VB","CGA",1,"TMDL-1 Evaluate Impairment Sources","short-term"
"262",1,3,"listed","list","VBN","CGA",1,"TMDL-2 Analyze Impaired Segments and Sources ","short-term"
"263",2,1,"Refine","refine","VB","CGA",1,"TMDL-2 Analyze Impaired Segments and Sources ","short-term"
"264",1,3,"listed","list","VBN","CGA",1,"TMDL-3 Stormwater Management BMPs","short-term"
"265",2,1,"Refine","refine","VB","CGA",1,"TMDL-3 Stormwater Management BMPs","short-term"
"266",1,1,"Implement","implement","VB","CGA",1,"WC-1 Tier 1 and Tier 2 Measures for Municipal and Industrial Users","short-term"
"267",1,1,"Implement","implement","VB","CGA",1,"WC-10 End-Gun Shutoffs","short-term"
"268",1,1,"Implement","implement","VB","CGA",1,"WC-11 Low Pressure Systems","short-term"
"269",1,1,"Implement","implement","VB","CGA",1,"WC-12 Application Efficiency Technologies","short-term"
